X,Y,CBSAFP,NAME,STATEFP,isApp
-96.870771262231614,40.819900939251667,30700,"Lincoln, NE",31,0
-89.949755830603635,43.422038547471445,12660,"Baraboo, WI",55,0
-77.382842868099189,42.268866423845658,18500,"Corning, NY",36,0
-90.40616449819035,30.628985541700057,25220,"Hammond, LA",22,0
-83.456201604546649,39.560213062993569,47920,"Washington Court House, OH",39,0
-85.2122364886512,34.274677152493908,40660,"Rome, GA",13,0
-110.54754009386924,41.287428638179037,21740,"Evanston, WY",56,0
-80.868945512731642,35.187065708012589,16740,"Charlotte-Concord-Gastonia, NC-SC",45,0
-93.806911678703088,38.747196014138993,47660,"Warrensburg, MO",29,0
-100.40602082591526,32.303652816292129,45020,"Sweetwater, TX",48,0
-96.152479679488351,38.45543734962051,21380,"Emporia, KS",20,0
-91.948435710961377,41.03186659024859,21840,"Fairfield, IA",19,0
-90.944581249253943,33.281058987429084,24740,"Greenville, MS",28,0
-88.230341905477687,39.419284807736361,16660,"Charleston-Mattoon, IL",17,0
-85.500871662550168,39.307126577661165,24700,"Greensburg, IN",18,0
-89.230701168739813,31.186008420576535,25620,"Hattiesburg, MS",28,0
-90.209963177695357,40.475996360310127,15900,"Canton, IL",17,0
-108.20760168562131,40.618976030559146,18780,"Craig, CO",08,0
-95.00586445754108,45.152605901574191,48820,"Willmar, MN",27,0
-108.26403540691989,38.402106109061414,33940,"Montrose, CO",08,0
-84.591263146523261,40.855430634386465,46780,"Van Wert, OH",39,0
-84.42258681119975,42.248070349240443,27100,"Jackson, MI",26,0
-116.47228730815118,38.04261185099373,37220,"Pahrump, NV",32,0
-81.16514497376771,36.210581411505643,35900,"North Wilkesboro, NC",37,0
-80.334210139377362,40.989441494370475,35260,"New Castle, PA",42,0
-95.905138201083474,36.713776536658997,12780,"Bartlesville, OK",40,0
-97.721131522231403,27.123897853551856,28780,"Kingsville, TX",48,0
-73.680812015383566,44.7426714766816,38460,"Plattsburgh, NY",36,0
-102.63765074808569,32.304688184100954,11380,"Andrews, TX",48,0
-82.416811748649451,34.688870489590926,24860,"Greenville-Anderson-Mauldin, SC",45,0
-119.62138000879267,38.92102947055924,23820,"Gardnerville Ranchos, NV",32,0
-83.767890311734973,31.922996183233533,18380,"Cordele, GA",13,0
-95.15100161714642,42.735458752516166,44740,"Storm Lake, IA",19,0
-89.771517843894429,37.323479862212899,16020,"Cape Girardeau, MO-IL",17,0
-92.497137398976292,39.440072568833322,33620,"Moberly, MO",29,0
-85.997364425742973,34.78187023992254,42460,"Scottsboro, AL",01,0
-104.30530113897282,32.471673434793473,16100,"Carlsbad-Artesia, NM",35,0
-95.36409879766687,30.904661155248203,26660,"Huntsville, TX",48,0
-93.162591203871415,36.086953853812908,25460,"Harrison, AR",05,0
-87.41489079024764,38.69338336358436,47180,"Vincennes, IN",18,0
-99.888252978699953,37.692001140827891,19980,"Dodge City, KS",20,0
-98.278584694938573,44.414643838549992,26700,"Huron, SD",46,0
-77.918252506866054,35.701923142522197,48980,"Wilson, NC",37,0
-84.605053957146495,43.292655233399685,10940,"Alma, MI",26,0
-85.029935131616568,33.038881635914009,29300,"LaGrange, GA",13,0
-93.464990047532055,42.036212125457027,11180,"Ames, IA",19,0
-92.752331358139188,43.671456090288991,12380,"Austin, MN",27,0
-81.848783584068784,34.838130539678929,43900,"Spartanburg, SC",45,0
-99.717553715075042,32.449774608922461,10180,"Abilene, TX",48,0
-89.321855969985904,42.041421013145758,40300,"Rochelle, IL",17,0
-87.540343652036469,37.308655743744183,31580,"Madisonville, KY",21,0
-93.296598597331908,44.354327782552502,22060,"Faribault-Northfield, MN",27,0
-98.999070176389466,31.774313479990877,15220,"Brownwood, TX",48,0
-93.931399951283922,42.036617699645198,14340,"Boone, IA",19,0
-93.055677853020569,41.685760815538892,35500,"Newton, IA",19,0
-88.918992078296057,38.649632040708809,16460,"Centralia, IL",17,0
-83.137871996388014,41.356241257766541,23380,"Fremont, OH",39,0
-93.097761759178042,31.724518749227602,35060,"Natchitoches, LA",22,0
-98.313190007485673,32.753109845773288,33420,"Mineral Wells, TX",48,0
-79.269802548476591,41.813162122551994,47620,"Warren, PA",42,0
-95.15096481198141,43.082471820315206,43980,"Spencer, IA",19,0
-77.220352053200102,39.867651728797753,23900,"Gettysburg, PA",42,0
-85.6271079619559,38.995889062079321,35860,"North Vernon, IN",18,0
-89.80205155307543,33.767904531072972,24980,"Grenada, MS",28,0
-73.629248611258944,42.253291129232935,26460,"Hudson, NY",36,0
-89.368390601094845,40.123060470566706,30660,"Lincoln, IL",17,0
-74.305548791575561,44.593460298413092,31660,"Malone, NY",36,0
-101.35466431772778,35.840065744075694,14420,"Borger, TX",48,0
-97.74401258521597,28.41550901141505,13300,"Beeville, TX",48,0
-84.929556973283965,38.124169268604362,23180,"Frankfort, KY",21,0
-82.598679510013397,41.146511746966858,35940,"Norwalk, OH",39,0
-82.422896405853436,40.395893685739189,34540,"Mount Vernon, OH",39,0
-93.283534001740747,38.724447401367598,42740,"Sedalia, MO",29,0
-80.690863480953482,36.414412650507174,34340,"Mount Airy, NC",37,0
-100.77697441484359,41.234000627640768,35820,"North Platte, NE",31,0
-91.282740036819632,44.939221890793974,20740,"Eau Claire, WI",55,0
-82.617269302371739,39.017060715829523,27160,"Jackson, OH",39,0
-76.070508583286966,42.595147188435625,18660,"Cortland, NY",36,0
-75.343300824357229,41.058671914331171,20700,"East Stroudsburg, PA",42,0
-112.39787724910779,43.216731406335349,13940,"Blackfoot, ID",16,0
-88.879051321721704,33.424916847226832,44260,"Starkville, MS",28,0
-95.708352548031371,46.408469285457244,22260,"Fergus Falls, MN",27,0
-82.850215957720181,36.175835048997925,24620,"Greeneville, TN",47,0
-83.294822631361839,34.55250416750885,45740,"Toccoa, GA",13,0
-89.75863384016607,44.897925330692793,48140,"Wausau, WI",55,0
-83.768952383435305,31.186702798124511,34220,"Moultrie, GA",13,0
-99.001707846213648,35.638538020662189,48220,"Weatherford, OK",40,0
-74.440116318206009,42.901234944521974,11220,"Amsterdam, NY",36,0
-83.705897092168541,43.022442151026667,22420,"Flint, MI",26,0
